gene	B10	B11	B12	B1	B2	B3	B4	B5	B6	B7	B8	B9
ENSMUSG00000113999.1	15	23	19	22	37	23	30	17	18	4	11	11
ENSMUSG00000074359.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046354.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000032501.9	46	67	81	103	106	128	79	51	84	32	57	58
ENSMUSG00000111013.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106157.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082910.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022076.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051147.10	12	24	9	30	18	19	38	34	29	8	20	23
ENSMUSG00000060480.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116645.1	14	6	1	6	3	3	9	7	1	2	2	5
ENSMUSG00000079871.4	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000091131.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019039.14	295	336	271	489	436	458	492	450	504	251	371	446
ENSMUSG00000084847.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000080527.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077488.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105921.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005232.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098580.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099918.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114142.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075551.4	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000053390.16	121	115	102	106	100	99	183	202	181	56	98	115
ENSMUSG00000109286.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064280.14	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000071369.11	47	46	64	89	97	128	103	76	121	36	104	120
ENSMUSG00000096197.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054459.8	0	0	0	0	0	1	0	0	1	0	0	0
ENSMUSG00000101601.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103538.3	6	4	3	4	4	0	9	19	15	5	7	20
ENSMUSG00000043635.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000038879.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027012.15	798	822	812	991	1321	1218	1125	931	1278	491	882	1009
ENSMUSG00000078680.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042298.18	165	162	114	204	233	205	256	164	240	109	173	159
ENSMUSG00000117271.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088239.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106667.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081153.1	1	2	2	1	7	0	1	1	1	2	1	0
ENSMUSG00000104730.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077515.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098727.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048292.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065573.1	0	0	1	0	0	0	0	1	0	0	0	0
ENSMUSG00000086785.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000102347.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000053268.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027080.6	346	320	303	413	466	471	604	458	555	186	346	300
ENSMUSG00000109313.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034786.17	144	150	163	133	258	216	215	191	266	128	227	244
ENSMUSG00000112835.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109796.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084282.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089431.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028832.11	1587	1782	1255	2625	2705	2428	2419	1898	1956	630	1077	961
ENSMUSG00000100893.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034354.17	1108	1144	1291	979	1103	1374	2008	1561	2241	730	1317	1463
ENSMUSG00000117418.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000060098.11	347	379	288	347	331	335	478	378	313	148	217	196
ENSMUSG00000073678.4	57	65	66	82	72	97	71	60	68	35	71	68
ENSMUSG00000110332.1	0	0	0	0	4	2	2	2	0	0	0	0
ENSMUSG00000105476.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057615.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000019122.8	0	0	0	5	3	2	0	0	0	1	1	3
ENSMUSG00000092387.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115964.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085594.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064382.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088749.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065600.1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086812.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026842.16	466	571	658	856	896	1252	678	481	820	442	830	790
ENSMUSG00000099353.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095033.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027227.7	1235	1326	973	1846	1965	2035	1660	1431	1503	1013	1598	1502
ENSMUSG00000113461.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074870.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006418.17	504	490	479	487	638	624	2167	1676	2074	367	478	546
ENSMUSG00000083091.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041696.14	2	1	1	0	2	0	0	1	2	1	2	3
ENSMUSG00000102857.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000109823.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100920.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094917.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070550.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118044.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082975.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111078.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089941.1	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000066912.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105503.1	0	0	0	0	1	0	1	0	0	0	1	1
ENSMUSG00000098162.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116590.1	1	0	0	0	0	0	1	0	3	0	1	1
ENSMUSG00000075133.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117928.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000092414.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105986.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028451.12	649	584	853	857	1003	1305	643	478	959	564	1033	1160
ENSMUSG00000017561.16	267	280	240	436	464	493	577	441	522	170	302	291
ENSMUSG00000103000.1	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000112270.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000113608.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057522.15	509	475	495	562	697	789	664	484	683	291	456	561
ENSMUSG00000101666.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085055.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015312.9	24	27	10	30	39	39	97	83	110	24	31	32
ENSMUSG00000088750.1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048949.8	11	14	17	22	14	16	21	17	25	7	17	15
ENSMUSG00000081784.1	0	0	0	1	0	0	0	0	0	0	0	0
